Title,Link,Company,Location,City,Is_Recent,Type,Experience_Type,Years_Of_Experience,Skills_Count,Skills_Set
Spa Therapist,https://wuzzuf.net/jobs/p/m3RR0wSnBHWP-Spa-Therapist-Four-Seasons-Hotels-and-Resorts-Dubai-United-Arab-Emirates?o=879&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Four Seasons Hotels and Resorts,"Dubai, United Arab Emirates ",Emirates,False,Full Time,Not specified,0,8,"['Hospitality/Hotels/Food Services', 'Medical/Healthcare', 'Sports and Leisure', 'healthcare', 'medical', 'spa', 'massage', 'management']"
Virtual Assistant,https://wuzzuf.net/jobs/p/y6kGEwpfcMYL-Virtual-Assistant-Cairo-Egypt?o=880&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Confidential,"Cairo, Egypt ",Egypt,False,Full Time,Experienced,3,9,"['Administration', 'Business Development', 'Customer Service/Support', 'Startup', 'Entrepreneurship', 'Executive Management', 'Business English', 'Microsoft Office', 'English']"
Front Office Administrator,https://wuzzuf.net/jobs/p/E2WUcY8BYs7m-Front-Office-Administrator-dkt-Egypt-Cairo-Egypt?o=881&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,dkt Egypt,"Nasr City, Cairo, Egypt ",Egypt,False,Full Time,Experienced,3,9,"['Administration', 'Admin', 'Administration', 'Communication', 'computer', 'Computer Skills', 'English', 'Microsoft Office', 'Office management']"
Housekeeping Supervisor,https://wuzzuf.net/jobs/p/pgrAnwxYkiYm-Housekeeping-Supervisor-Kerzner-International-Management-Dubai-United-Arab-Emirates?o=882&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Kerzner International Management,"Dubai, United Arab Emirates ",Emirates,False,Full Time,Not specified,0,10,"['Administration', 'Hospitality/Hotels/Food Services', 'Hospitality', 'Housekeeping', 'Administration', 'Hotels', 'Admin', 'Cleaning Products', 'Cleanliness', 'Communication Skills']"
Senior Financial Auditor,https://wuzzuf.net/jobs/p/63UNHn79X2x1-Senior-Financial-Auditor-MBCC-Egypt-Cairo-Egypt?o=883&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,MBCC Egypt,"Cairo, Egypt ",Egypt,False,Full Time,Experienced,7,10,"['Accounting/Finance', 'Manufacturing/Production', 'Analyst/Research', 'Financial', 'Auditing', 'auditor', 'CMA', 'CPA', 'Finance', 'Financial Management']"
Projects Sales Engineer,https://wuzzuf.net/jobs/p/mXtKj3LVNd6f-Projects-Sales-Engineer-Saint-Gobain-Cairo-Egypt?o=884&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Saint-Gobain,"New Cairo, Cairo, Egypt ",Egypt,False,Full Time,Entry Level,3,10,"['Engineering - Construction/Civil/Architecture', 'Sales/Retail', 'Sales', 'sales skills', 'Materials', 'English', 'Construction', 'Project Management', 'Civil Engineering', 'Glass']"
Technical Product Owner,https://wuzzuf.net/jobs/p/yPFa2StTdcJb-Technical-Product-Owner-classera-Cairo-Egypt?o=885&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,classera,"New Cairo, Cairo, Egypt ",Egypt,False,Full Time,Experienced,3,10,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Agile', 'Computer Science', 'Information Technology (IT)', 'JIRA', 'Product', 'Product Owner', 'Software', 'Software Development']"
Storage and Backup engineer,https://wuzzuf.net/jobs/p/C1SvN3hD0WYU-Storage-and-Backup-engineer-Sceel-io-Cairo-Egypt?o=886&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Sceel.io,"Maadi, Cairo, Egypt ",Egypt,False,Full Time,Experienced,4,10,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Computer Engineering', 'Computer Science', 'Customer Service', 'Engineering', 'Information Technology (IT)', 'Management', 'system', 'ERP']"
Marketing Director,https://wuzzuf.net/jobs/p/lagZQe43N9pf-Marketing-Director-AlUla-Club-Qatif-Saudi-Arabia?o=887&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,AlUla Club,"Qatif, Saudi Arabia ",Saudi,False,Full Time,Not specified,0,10,"['Creative/Design/Art', 'Marketing/PR/Advertising', 'Media/Journalism/Publishing', 'Marketing', 'Media', 'Social Media', 'E-marketing', 'Market Research', 'Sales', 'Management']"
Head of Contact Center,https://wuzzuf.net/jobs/p/uWGUaT4d9I5T-Head-of-Contact-Center-Target-Recruitment-HR-Solutions-Cairo-Egypt?o=888&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Target Recruitment  & HR Solutions,"Cairo, Egypt ",Egypt,False,Full Time,Experienced,5,10,"['Customer Service/Support', 'Operations/Management', 'Contact Center', 'business', 'Communication', 'Communication skills', 'Customer Care', 'CRM', 'Customer Service', 'Customer Support']"
"Brand Specialist, AVS (Amazon Vendor Services)",https://wuzzuf.net/jobs/p/u27UUBssPocJ-Brand-Specialist-AVS-Amazon-Vendor-Services-Souq-com-for-E-Commerce-LLC-Cairo-Egypt?o=889&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Souq.com for E-Commerce LLC,"Cairo, Egypt ",Egypt,False,Full Time,Not specified,0,10,"['Marketing/PR/Advertising', 'Sales/Retail', 'Media/Journalism/Publishing', 'Branding', 'Marketing', 'Advertising', 'E-marketing', 'Social Media', 'Startup', 'Customer Service']"
Architectural Engineer,https://wuzzuf.net/jobs/p/k7uBvhkjYEBC-Architectural-Engineer-ManpowerGroup-Middle-East-Dubai-United-Arab-Emirates?o=890&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,ManpowerGroup Middle East,"Dubai, United Arab Emirates ",Emirates,False,Full Time,Not specified,0,10,"['Engineering - Construction/Civil/Architecture', 'Creative/Design/Art', 'Project/Program Management', 'Architecture', 'Engineering', 'Civil Engineering', 'AutoCAD', 'Construction', 'Design', 'Project Management']"
Grocery Team Leader,https://wuzzuf.net/jobs/p/QxezPG6LKLgI-Grocery-Team-Leader-Giant-Eagle-Medina-Saudi-Arabia?o=891&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Giant Eagle,"Medina, Saudi Arabia ",Saudi,False,Full Time,Not specified,0,10,"['IT/Software Development', 'Sales/Retail', 'Engineering - Telecom/Technology', 'Sales', 'Sales Skills', 'Sales Target', 'Information Technology (IT)', 'Computer Science', 'Customer Service', 'Real Estate']"
EH&S Supervisor - DTV (Open),https://wuzzuf.net/jobs/p/lGzN5XcZBvlv-EHS-Supervisor---DTV-Open-Air-Products-Inc-Riyadh-Saudi-Arabia?o=892&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Air Products Inc,"Riyadh, Saudi Arabia ",Saudi,False,Full Time,Not specified,0,10,"['Quality', 'Engineering - Mechanical/Electrical', 'Engineering - Other', 'EHS', 'Engineering', 'Health &amp; Safety', 'Quality', 'Quality Control', 'Science', 'Manufacturing']"
Inventory Controller Section Head,https://wuzzuf.net/jobs/p/cFHR08OdXmYR-Inventory-Controller-Section-Head-Midea-Group-Giza-Egypt?o=893&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Midea Group,"6th of October, Giza, Egypt ",Egypt,False,Full Time,Experienced,5,10,"['Accounting/Finance', 'Logistics/Supply Chain', 'Manufacturing/Production', 'Inventory Management', 'Planning', 'Management', 'inventory', 'ERP', 'Accounting', 'quality']"
Planning Section Head,https://wuzzuf.net/jobs/p/gsLAxu6EKE9i-Planning-Section-Head-Royal-Herbs-Monufya-Egypt?o=894&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Royal Herbs,"Alsadat City, Monufya, Egypt ",Egypt,False,Full Time,Experienced,4,11,"['males_only', 'Manufacturing/Production', 'Engineering - Mechanical/Electrical', 'Engineering', 'Planning', 'Supply Chain', 'Management', 'Planning Engineering', 'Forecasting', 'Production Engineering', 'Production Planning']"
Senior Import & Export Specialist,https://wuzzuf.net/jobs/p/ptQPmJaVwi13-Senior-Import-Export-Specialist-Giza-Egypt?o=895&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Confidential,"Mohandessin, Giza, Egypt ",Egypt,False,Full Time,Experienced,5,10,"['Logistics/Supply Chain', 'Sales/Retail', 'Purchasing/Procurement', 'Business Administration', 'Communication', 'Customs', 'English', 'Export', 'Import', 'Logistics']"
Technical Advisor,https://wuzzuf.net/jobs/p/wzCCf5X2EUmO-Technical-Advisor-MTI-Cairo-Egypt?o=896&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,MTI,"New Cairo, Cairo, Egypt ",Egypt,False,Full Time,Experienced,7,7,"['IT/Software Development', 'Operations/Management', 'Project/Program Management', 'Information Technology (IT)', 'Architecture', 'IT', 'Project Management']"
Production Planning Specialist,https://wuzzuf.net/jobs/p/cfyjqCobq8r9-Production-Planning-Specialist-Sanofi-Aventis-Deutschland-GmbH-Cairo-Egypt?o=897&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Sanofi-Aventis Deutschland GmbH,"Cairo, Egypt ",Egypt,False,Full Time,Not specified,0,10,"['Logistics/Supply Chain', 'Manufacturing/Production', 'Engineering - Other', 'Production', 'Planning', 'Engineering', 'Manufacturing', 'Supply Chain', 'Logistics', 'Microsoft Office']"
Planning Engineer,https://wuzzuf.net/jobs/p/BEfsnfYfp19e-Planning-Engineer-I-Talent-Abu-Dhabi-United-Arab-Emirates?o=898&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,I-Talent,"Abu Dhabi, United Arab Emirates ",Emirates,False,Full Time,Experienced,0,10,"['Engineering - Construction/Civil/Architecture', 'Project/Program Management', 'Engineering - Mechanical/Electrical', 'Engineering', 'Planning', 'Civil Engineering', 'Project Management', 'Mechanical Engineering', 'Construction', 'Production']"
Head - Central Kitchen Production,https://wuzzuf.net/jobs/p/doOUF7Xt8uiG-Head---Central-Kitchen-Production-KYC-PRO-Global-Dubai-United-Arab-Emirates?o=899&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,KYC PRO Global,"Dubai, United Arab Emirates ",Emirates,False,Full Time,Not specified,0,10,"['Accounting/Finance', 'Operations/Management', 'Engineering - Mechanical/Electrical', 'Management', 'Engineering', 'Microsoft Office', 'Accounting', 'Finance', 'Mechanical Engineering', 'Human Resources (HR)']"
Chief Technology Officer,https://wuzzuf.net/jobs/p/AyckRd0Ag2Iv-Chief-Technology-Officer-KYC-PRO-Global-Dubai-United-Arab-Emirates?o=900&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,KYC PRO Global,"Dubai, United Arab Emirates ",Emirates,False,Full Time,Not specified,0,10,"['Accounting/Finance', 'Operations/Management', 'C-Level Executive/GM/Director', 'Finance', 'Accounting', 'Financial Management', 'Financial Analysis', 'Management', 'MBA', 'Information Technology (IT)']"
Logistics and Customer Service Coordinator (Export),https://wuzzuf.net/jobs/p/hnVlOdkit8Fz-Logistics-and-Customer-Service-Coordinator-Export-Cairo-Egypt?o=901&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Confidential,"Heliopolis, Cairo, Egypt ",Egypt,False,Full Time,Experienced,3,11,"['males_only', 'Customer Service/Support', 'Logistics/Supply Chain', 'Order Management', 'Customer Support', 'Export Documentation', 'Inventory Planning', 'Order Processing', 'SAP', 'Business Administration', 'Export']"
senior purchasing specialist,https://wuzzuf.net/jobs/p/ZrUsE6psDKP9-senior-purchasing-specialist-Alexandria-Egypt?o=902&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Confidential,"Alexandria, Egypt ",Egypt,False,Full Time,Entry Level,4,11,"['males_only', 'Logistics/Supply Chain', 'Purchasing/Procurement', 'Engineering - Other', 'Engineering', 'Chemical Engineering', 'Pharmaceutical Sciences', 'Pharmaceutical Science', 'Agricultural Engineering', 'Agriculture Engineering', 'Pesticide']"
Supply Chain Specialist,https://wuzzuf.net/jobs/p/5nUJmfiInwl0-Supply-Chain-Specialist-Cairo-Egypt?o=903&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Confidential,"Nasr City, Cairo, Egypt ",Egypt,False,Full Time,Entry Level,0,11,"['0 - 1 Yrs of Exp', 'Logistics/Supply Chain', 'Operations/Management', 'Purchasing/Procurement', 'Engineering', 'Logistics', 'Management', 'Procurement', 'Purchasing', 'Risk Management', 'Supply Chain']"
Technical Office Engineer (Bidding Pricing Proposals) - Sheet Metal,https://wuzzuf.net/jobs/p/D3l7tIjJOsCR-Technical-Office-Engineer-Bidding-Pricing-Proposals---Sheet-Metal-Power-Solutions-Giza-Egypt?o=904&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Power Solutions,"6th of October, Giza, Egypt ",Egypt,False,Full Time,Experienced,2,10,"['Purchasing/Procurement', 'Engineering - Mechanical/Electrical', 'Industrial Engineering', 'Mechanical Engineering', 'SolidWorks', 'AutoCAD', 'Sheet Metal', 'Technical Office', 'Microsoft Office', 'Inventor']"
Project Electrical Engineer,https://wuzzuf.net/jobs/p/ig4edkCkrKtz-Project-Electrical-Engineer-Marbella-For-Food-Industry-Giza-Egypt?o=905&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Marbella For Food Industry,"6th of October, Giza, Egypt ",Egypt,False,Full Time,Experienced,7,10,"['Installation/Maintenance/Repair', 'Project/Program Management', 'Engineering - Mechanical/Electrical', 'Electrical', 'Electrical Engineering', 'Engineering', 'Management', 'Manufacturing', 'Project Management', 'Programming']"
Mechanical Maintenance Engineer,https://wuzzuf.net/jobs/p/5naRJopj3xue-Mechanical-Maintenance-Engineer-Marbella-For-Food-Industry-Giza-Egypt?o=906&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Marbella For Food Industry,"6th of October, Giza, Egypt ",Egypt,False,Full Time,Experienced,6,10,"['Installation/Maintenance/Repair', 'Manufacturing/Production', 'Engineering - Mechanical/Electrical', 'CMMS', 'Mechanical Engineering', 'Maintenance', 'Planning', 'Production', 'Mechanical', 'Engineering']"
Analyst- Credit,https://wuzzuf.net/jobs/p/suNTouZ184DK-Analyst--Credit-First-Abu-Dhabi-Bank-Dubai-United-Arab-Emirates?o=907&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,First Abu Dhabi Bank,"Dubai, United Arab Emirates ",Emirates,False,Full Time,Not specified,0,10,"['Accounting/Finance', 'Banking', 'Analyst/Research', 'Finance', 'Accounting', 'Financial Analysis', 'Credit', 'Analysis', 'Banking', 'Credit Analysis']"
Analyst- Credit,https://wuzzuf.net/jobs/p/Z0PsV7wlG6lG-Analyst--Credit-First-Gulf-Bank-PJSC-Dubai-United-Arab-Emirates?o=908&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,First Gulf Bank PJSC,"Dubai, United Arab Emirates ",Emirates,False,Full Time,Not specified,0,10,"['Accounting/Finance', 'Banking', 'Analyst/Research', 'Finance', 'Accounting', 'Financial Analysis', 'Credit', 'Analysis', 'Banking', 'Credit Analysis']"
Operations Supervisor,https://wuzzuf.net/jobs/p/MMQ4OINMwjDh-Operations-Supervisor-Afaq---Warehouse-Branch-Riyadh-Saudi-Arabia?o=909&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Afaq - Warehouse Branch,"Riyadh, Saudi Arabia ",Saudi,False,Full Time,Not specified,0,10,"['Customer Service/Support', 'Logistics/Supply Chain', 'Operations/Management', 'Operations', 'Management', 'Customer Service', 'Logistics', 'Customer Support', 'Supply Chain', 'Microsoft Office']"
Sales Supervisor,https://wuzzuf.net/jobs/p/jK3MQHzhQcgI-Sales-Supervisor-Sealy-Mattress-Middle-East-Riyadh-Saudi-Arabia?o=910&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Sealy Mattress Middle East,"Riyadh, Saudi Arabia ",Saudi,False,Full Time,Not specified,0,10,"['Customer Service/Support', 'Medical/Healthcare', 'Sales/Retail', 'Sales', 'Sales Skills', 'Sales Target', 'Customer Service', 'FMCG', 'Customer Support', 'Customer Care']"
Sales Team Lead - Sales Property Northern Emirates,https://wuzzuf.net/jobs/p/WeOpQcvepu6l-Sales-Team-Lead---Sales-Property-Northern-Emirates-Bayut-dubizzle-Ajman-United-Arab-Emirates?o=911&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Bayut | dubizzle,"Ajman, United Arab Emirates ",Emirates,False,Full Time,Not specified,0,10,"['IT/Software Development', 'Sales/Retail', 'Engineering - Telecom/Technology', 'Sales', 'Sales Skills', 'Sales Target', 'Real Estate', 'Information Technology (IT)', 'Computer Science', 'Customer Service']"
Sales Team Lead - Sales Property Dubai,https://wuzzuf.net/jobs/p/EM0g0ZKzJDW7-Sales-Team-Lead---Sales-Property-Dubai-Bayut-dubizzle-Dubai-United-Arab-Emirates?o=912&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Bayut | dubizzle,"Dubai, United Arab Emirates ",Emirates,False,Full Time,Not specified,0,10,"['IT/Software Development', 'Sales/Retail', 'Engineering - Telecom/Technology', 'Sales', 'Sales Skills', 'Sales Target', 'Real Estate', 'Information Technology (IT)', 'Computer Science', 'Customer Service']"
Finance Business Partner,https://wuzzuf.net/jobs/p/CQ5mmyEKa8yE-Finance-Business-Partner-Maersk-Growth-Riyadh-Saudi-Arabia?o=913&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Maersk Growth,"Riyadh, Saudi Arabia ",Saudi,False,Full Time,Not specified,0,10,"['Accounting/Finance', 'Business Development', 'Human Resources', 'Human Resources (HR)', 'Recruitment', 'Microsoft Office', 'Business Administration', 'Training', 'Employee Relations', 'HR']"
Clothing Store Storeroom Clerk and Inventory Control,https://wuzzuf.net/jobs/p/4tEk1t0REzxO-Clothing-Store-Storeroom-Clerk-and-Inventory-Control-Drop-The-Shop-Giza-Egypt?o=914&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Drop The Shop,"Sheikh Zayed, Giza, Egypt ",Egypt,False,Full Time,Entry Level,0,7,"['0 - 10 Yrs of Exp', 'Administration', 'Storeroom Clerk', 'Storekeeping', 'Inventory Management', 'Inventory Control', 'Microsoft Excel']"
Medical doctors in Assuit,https://wuzzuf.net/jobs/p/BlphZioBdhJ4-Medical-doctors-in-Assuit-Dawi-Clinics-Assiut-Egypt?o=915&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Dawi Clinics,"Assuit, Assiut, Egypt ",Egypt,False,,Experienced,5,10,"['Medical/Healthcare', 'Orthodontics', 'Pediatrics', 'Dental Care', 'doctors', 'Out-patient Clinic', 'Healthcare', 'Doctor', 'MEDICINE', 'Patients']"
Operation Supervisor,https://wuzzuf.net/jobs/p/jFDtpCrVvOby-Operation-Supervisor-Majorel-Egypt-Alexandria-Egypt?o=916&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Majorel Egypt,"Alexandria, Egypt ",Egypt,False,Full Time,Manager,1,10,"['Customer Service/Support', 'Operations/Management', 'Communication', 'Communication skills', 'Customer Support', 'Leadership', 'Management', 'Operations', 'COPC', 'English']"
Senior Purchaser,https://wuzzuf.net/jobs/p/yDX8qr0rvDI7-Senior-Purchaser-Saint-Gobain-Suez-Egypt?o=917&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Saint-Gobain,"Ain Sokhna, Suez, Egypt ",Egypt,False,Full Time,Experienced,5,10,"['Logistics/Supply Chain', 'Purchasing/Procurement', 'Communication skills', 'negotiation skills', 'Logistics', 'Supply Chain', 'Purchasing', 'Procurement', 'ERP', 'Management']"
Operations and Logistics Coordinator,https://wuzzuf.net/jobs/p/aIky4f1dHGJE-Operations-and-Logistics-Coordinator-HK-Designs-Cairo-Egypt?o=918&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,HK Designs,"New Cairo, Cairo, Egypt ",Egypt,False,Full Time,Entry Level,0,11,"['0 - 2 Yrs of Exp', 'Administration', 'Logistics/Supply Chain', 'Operations/Management', 'Management', 'Microsoft Office', 'Logistics', 'Operations', 'Time Management', 'Supply Chain', 'Retail']"
Sales Engineer - Electrical Panel Field,https://wuzzuf.net/jobs/p/B531CEDHdt7j-Sales-Engineer---Electrical-Panel-Field-Chint-Egemac-Giza-Egypt?o=919&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Chint Egemac,"6th of October, Giza, Egypt ",Egypt,False,Full Time,Entry Level,1,10,"['Sales/Retail', 'Engineering - Mechanical/Electrical', 'Electrical Engineering', 'Medium Voltage Panel', 'Tendering', 'Sales', 'Low Voltage', 'Sales Account Management', 'Sales Skills', 'Sales Target']"
"Brand Specialist (KSA nat), AVS (Amazon Vendor Services)",https://wuzzuf.net/jobs/p/2PvZC0eOt0aN-Brand-Specialist-KSA-nat-AVS-Amazon-Vendor-Services-Amazon-MENA-Riyadh-Saudi-Arabia?o=920&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Amazon MENA,"Riyadh, Saudi Arabia ",Saudi,False,Full Time,Not specified,0,10,"['Marketing/PR/Advertising', 'Sales/Retail', 'Media/Journalism/Publishing', 'Branding', 'Marketing', 'Advertising', 'E-marketing', 'Social Media', 'Startup', 'Customer Service']"
Sales Director,https://wuzzuf.net/jobs/p/WDhQOQYRbA75-Sales-Director-ManpowerGroup-Middle-East-Riyadh-Saudi-Arabia?o=921&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,ManpowerGroup Middle East,"Riyadh, Saudi Arabia ",Saudi,False,Full Time,Not specified,0,10,"['Operations/Management', 'Marketing/PR/Advertising', 'Sales/Retail', 'Sales', 'Sales Skills', 'Sales Target', 'Management', 'Marketing', 'Real Estate', 'Communication Skills']"
Senior Planning Engineer - FMCG,https://wuzzuf.net/jobs/p/jPf1vqxuSCmm-Senior-Planning-Engineer---FMCG-Royal-Herbs-Monufya-Egypt?o=922&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Royal Herbs,"Alsadat City, Monufya, Egypt ",Egypt,False,Full Time,Experienced,4,11,"['males_only', 'Manufacturing/Production', 'Engineering - Mechanical/Electrical', 'Engineering', 'Planning', 'Supply Chain', 'Management', 'Planning Engineering', 'Forecasting', 'Production Engineering', 'Production Planning']"
Production and Material Planning Engineer in 6th of October City,https://wuzzuf.net/jobs/p/gvDDkRNyKAlI-Production-and-Material-Planning-Engineer-in-6th-of-October-City-Bedaya-Giza-Egypt?o=923&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Bedaya,"6th of October, Giza, Egypt ",Egypt,False,Full Time,Entry Level,2,10,"['Logistics/Supply Chain', 'Manufacturing/Production', 'Engineering - Mechanical/Electrical', 'Industrial Engineering', 'Manufacturing', 'Mechanical', 'Lean manufacturing', 'Industrial', 'Engineering', 'Leadership']"
Senior Business Development Specialist,https://wuzzuf.net/jobs/p/uHC1d96LRl65-Senior-Business-Development-Specialist-Helm-Organization-Cairo-Egypt?o=924&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Helm Organization,"Maadi, Cairo, Egypt ",Egypt,False,Full Time,Experienced,5,5,"['Business Development', 'Project/Program Management', 'Business Development', 'Account Management', 'Business Administration']"
Commercial Manager - Software Background (GULF),https://wuzzuf.net/jobs/p/FP0diHGoilit-Commercial-Manager---Software-Background-GULF-Lumin-Giza-Egypt?o=925&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Lumin,"Sheikh Zayed, Giza, Egypt ",Egypt,False,Full Time,Manager,8,10,"['IT/Software Development', 'Marketing/PR/Advertising', 'Sales/Retail', 'Software Solutions', 'Sales', 'IT', 'Software Sales', 'Business Development', 'Commercial Sales', 'Commercial']"
Mechanical Engineering Manager,https://wuzzuf.net/jobs/p/xqgoKJX8W5Eh-Mechanical-Engineering-Manager-Beheira-Egypt?o=926&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Confidential,"delengat, Beheira, Egypt ",Egypt,False,Full Time,Manager,1,7,"['Manufacturing/Production', 'Engineering - Mechanical/Electrical', 'Mechanic', 'Maintenance', 'Mechanical Engineering', 'Project Management', 'Development']"
Scrum Master,https://wuzzuf.net/jobs/p/MRIBNzXx0Sli-Scrum-Master-The-Address-Investments-for-Real-Estate-Consultancy-Cairo-Egypt?o=927&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,The Address Investments for Real Estate Consultancy,"New Cairo, Cairo, Egypt ",Egypt,False,Full Time,Experienced,2,10,"['IT/Software Development', 'Project/Program Management', 'Engineering - Telecom/Technology', 'Agile', 'Computer Science', 'Management', 'Project Management', 'Scrum Master', 'Scrum', 'PMP']"
Cost Accountant,https://wuzzuf.net/jobs/p/poawipBXagSE-Cost-Accountant-TEPCO-S-A-E-Giza-Egypt?o=928&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,TEPCO S.A.E.,"6th of October, Giza, Egypt ",Egypt,False,Full Time,Experienced,3,10,"['Accounting/Finance', 'Analyst/Research', 'Accounting', 'analytical', 'accountant', 'Cost Accountant', 'Cost Accounting', 'Cost', 'Cost Analyst', 'Finance']"
Executive - Media,https://wuzzuf.net/jobs/p/a9nSVcAlNeWM-Executive---Media-Spark-Foundry-Dubai-United-Arab-Emirates?o=929&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Spark Foundry,"Dubai, United Arab Emirates ",Emirates,False,Full Time,Not specified,0,10,"['Customer Service/Support', 'Marketing/PR/Advertising', 'Sales/Retail', 'Sales', 'Sales Skills', 'Sales Target', 'Customer Service', 'Marketing', 'Microsoft Office', 'Customer Support']"
Planning Engineer - Glazing,https://wuzzuf.net/jobs/p/S4EWGly1vin7-Planning-Engineer---Glazing-Careers-International-Dubai-United-Arab-Emirates?o=930&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Careers International,"Dubai, United Arab Emirates ",Emirates,False,Full Time,Not specified,0,10,"['Engineering - Construction/Civil/Architecture', 'Project/Program Management', 'Engineering - Mechanical/Electrical', 'Engineering', 'Planning', 'Civil Engineering', 'Architecture', 'Mechanical Engineering', 'Construction', 'Project Management']"
Sales Team Leader,https://wuzzuf.net/jobs/p/zLlDuTu4bJZx-Sales-Team-Leader-Giza-Arabia-Systems-Cairo-Egypt?o=931&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Giza Arabia Systems,"Cairo, Egypt ",Egypt,False,Full Time,Not specified,0,10,"['IT/Software Development', 'Sales/Retail', 'Engineering - Telecom/Technology', 'Sales', 'Sales Skills', 'Sales Target', 'Information Technology (IT)', 'Customer Service', 'Computer Science', 'Real Estate']"
Senior Research Analyst,https://wuzzuf.net/jobs/p/eG4fzQzXs2I5-Senior-Research-Analyst-NielsenIQ-Cairo-Egypt?o=932&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,NielsenIQ,"Cairo, Egypt ",Egypt,False,Full Time,Not specified,0,10,"['IT/Software Development', 'Analyst/Research', 'Engineering - Telecom/Technology', 'Information Technology (IT)', 'Analysis', 'Computer Science', 'Business Analysis', 'Finance', 'Research', 'Accounting']"
Officer - Copywriter,https://wuzzuf.net/jobs/p/81ER1YtEIB6Z-Officer---Copywriter-Transguard-group-Dubai-United-Arab-Emirates?o=933&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Transguard group,"Dubai, United Arab Emirates ",Emirates,False,Full Time,Not specified,0,10,"['Accounting/Finance', 'Administration', 'Customer Service/Support', 'Microsoft Office', 'Administration', 'Finance', 'Customer Service', 'Accounting', 'Customer Care', 'Customer Support']"
Estimator - Furniture,https://wuzzuf.net/jobs/p/5050PHoEbdjV-Estimator---Furniture-Careers-International-Dubai-United-Arab-Emirates?o=934&l=sp&t=sj&a=product manager|search-v3|hpb|spbl,Careers International,"Dubai, United Arab Emirates ",Emirates,False,Full Time,Not specified,0,10,"['Engineering - Construction/Civil/Architecture', 'Project/Program Management', 'Engineering - Mechanical/Electrical', 'Engineering', 'Cost Estimation', 'Civil Engineering', 'Tendering', 'Estimation', 'Construction', 'Mechanical Engineering']"
